,Name of the journal,Number of publication
182,Journal of Solid Waste Technology and Management,4
183,Journal of Elastomers and Plastics,4
184,Journal of Biobased Materials and Bioenergy,4
185,Revista Internacional de Contaminacion Ambiental,4
186,"JAOCS, Journal of the American Oil Chemists' Society",4
187,Brazilian Journal of Chemical Engineering,4
188,Biomass and Bioenergy,4
189,Journal of Materials Chemistry,4
190,Bioremediation Journal,4
191,International Journal of Polymeric Materials and Polymeric Biomaterials,4
192,Soil Biology and Biochemistry,4
193,Communications in agricultural and applied biological sciences,4
194,Process Biochemistry,4
195,Plastics Engineering,4
196,"Journal of Polymer Science, Part B: Polymer Physics",4
197,International Journal of Systematic and Evolutionary Microbiology,4
198,Aquatic Toxicology,4
199,Journal of Microbiology and Biotechnology,4
200,Journal of periodontology,4
201,Modern Plastics,4
202,Microbial Cell Factories,4
203,Cellulose,4
204,Microbial Ecology,4
205,Bioresource Technology Reports,4
206,Water (Switzerland),4
207,Journal of Materials Research and Technology,4
208,International Journal of Polymer Analysis and Characterization,4
209,Journal of Controlled Release,3
210,Frontiers in Environmental Science,3
211,Tissue Engineering - Part A,3
212,Italian Journal of Agronomy,3
213,Food Chemistry,3
214,Revista Materia,3
215,Acta Horticulturae,3
216,Brazilian Journal of Biology,3
217,Journal of Environmental Biology,3
218,Compost Science and Utilization,3
219,Fibers and Polymers,3
220,Crop Protection,3
221,Applied Clay Science,3
222,International Journal of Environmental Research,3
223,HortTechnology,3
224,Journal of Membrane Science,3
225,International Journal of ChemTech Research,3
226,Journal of Nanoscience and Nanotechnology,3
227,Wood Research,3
228,Journal of Nanomaterials,3
229,Journal of Plastic Film and Sheeting,3
230,Maderas: Ciencia y Tecnologia,3
231,Surface and Coatings Technology,3
232,Reactive and Functional Polymers,3
233,Revista Mexicana de Ingeniera Quimica,3
234,International Journal of Plastics Technology,3
235,Packaging Technology and Science,3
236,Journal of Orthopaedic Research,3
237,Electronic Journal of Biotechnology,3
238,Polimeri,3
239,Asian Journal of Chemistry,3
240,Polymer Science - Series D,3
241,African Journal of Biotechnology,3
242,Plastics Technology,3
243,Journal of Environmental Engineering,3
244,Journal of Industrial Ecology,3
245,Environmental Technology,3
246,Canadian Journal of Chemical Engineering,3
247,Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,3
248,Ultrasonics Sonochemistry,3
249,Pollution Research,3
250,Nature,3
251,Journal of Food Engineering,3
252,Tissue Engineering,3
253,"Nihon Kikai Gakkai Ronbunshu, C Hen/Transactions of the Japan Society of Mechanical Engineers, Part C",3
254,Soil Science and Plant Nutrition,3
255,Macromolecular Rapid Communications,3
256,Vysokomolekularnye Soedineniya. Ser.A Ser.B Ser.C - Kratkie Soobshcheniya,3
257,Indian Journal of Environmental Protection,3
258,Transactions of the American Society of Agricultural Engineers,3
259,Chemistry in Britain,3
260,Shengwu Yixue Gongchengxue Zazhi/Journal of Biomedical Engineering,3
261,Advanced Materials,3
262,"American Chemical Society, Polymer Preprints, Division of Polymer Chemistry",3
263,Folia Microbiologica,3
264,Journal of Periodontology,3
265,Journal of Clinical Periodontology,3
266,Journal of Fermentation and Bioengineering,3
267,Plastics world,3
268,International Journal of Periodontics and Restorative Dentistry,3
269,Practical periodontics and aesthetic dentistry : PPAD,3
270,Journal of Oral and Maxillofacial Surgery,3
271,Clinical Orthopaedics and Related Research,3
272,Materie plastiche ed elastomeri,3
273,THE PLASTICS INST.,3
274,Textile Research Journal,3
275,Bio-Medical Engineering,3
276,BMC Biotechnology,3
277,Materials Chemistry and Physics,3
278,Biomaterials Science,3
279,Journal of Sustainability Science and Management,3
280,"Environmental Research, Engineering and Management",3
281,Marine Environmental Research,3
282,Biointerface Research in Applied Chemistry,3
283,Polymers from Renewable Resources,3
284,Engineering in Life Sciences,3
285,Kexue Tongbao/Chinese Science Bulletin,3
286,ACS Biomaterials Science and Engineering,3
287,Applied Sciences (Switzerland),3
288,"Bioscience, Biotechnology and Biochemistry",3
289,Materialwissenschaft und Werkstofftechnik,3
290,Applied Environmental Biotechnology,3
291,Waste and Biomass Valorization,2
292,Toxicological and Environmental Chemistry,2
293,"Energy Sources, Part A: Recovery, Utilization and Environmental Effects",2
294,Journal of Adhesion Science and Technology,2
295,"Research Journal of Pharmaceutical, Biological and Chemical Sciences",2
296,Journal of Materials Engineering and Performance,2
297,Chinese Journal of Environmental Engineering,2
298,New Physics: Sae Mulli,2
299,Soil Research,2
300,"Plastics, Rubber and Composites",2
301,Journal of Food Science,2
302,Periodica Polytechnica Chemical Engineering,2
303,Soil and Sediment Contamination,2
304,International Journal of Pharmacy and Technology,2
305,Journal of Environmental Engineering (United States),2
306,Journal of Thermoplastic Composite Materials,2
307,Journal of Environmental Health Science and Engineering,2
308,Advances in Environmental Biology,2
309,Journal of Chemical and Pharmaceutical Research,2
310,International Journal of Pharmaceutical Sciences Review and Research,2
311,Nanoscale,2
312,Biotechnology for Biofuels,2
313,Journal of The Institution of Engineers (India): Series A,2
314,Acta Polymerica Sinica,2
315,Ecological Chemistry and Engineering S,2
316,Research Journal of Biotechnology,2
317,Express Polymer Letters,2
318,BioMed Research International,2
319,International Journal of Environment and Waste Management,2
320,Applied Soil Ecology,2
321,Metabolic Engineering,2
322,Arabian Journal of Chemistry,2
323,Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,2
324,Energy,2
325,Brazilian Archives of Biology and Technology,2
326,Wasser und Abfall,2
327,Materials Technology,2
328,Macromolecular Chemistry and Physics,2
329,Journal of the Air and Waste Management Association,2
330,Aesthetic Surgery Journal,2
331,Electrochimica Acta,2
332,Journal of Scientific and Industrial Research,2
333,Canadian Journal of Microbiology,2
334,Asia-Pacific Journal of Chemical Engineering,2
335,Applied Surface Science,2
336,Soft Matter,2
337,Holzforschung,2
338,Fuel Processing Technology,2
339,Bioprocess and Biosystems Engineering,2
340,"Journal of Macromolecular Science, Part A: Pure and Applied Chemistry",2
341,Precision Engineering,2
342,Polymer Chemistry,2
343,Scientific American,2
344,Biomedical Materials,2
345,Journal of Testing and Evaluation,2
346,Aesthetic Plastic Surgery,2
347,Process Safety and Environmental Protection,2
348,Fuhe Cailiao Xuebao/Acta Materiae Compositae Sinica,2
349,Gongneng Cailiao/Journal of Functional Materials,2
350,Revista Peruana de Biologia,2
351,Biocontrol Science,2
352,Ecological Engineering,2
353,Biotechnology Progress,2
354,Biosensors and Bioelectronics,2
355,Journal of Industrial Microbiology and Biotechnology,2
356,Journal of Analytical and Applied Pyrolysis,2
357,Journal of Clinical Rehabilitative Tissue Engineering Research,2
358,Journal of Environmental Science and Engineering,2
359,Indian Journal of Biotechnology,2
360,Polymers Paint Colour Journal,2
361,Revista de Biologia Tropical,2
362,Cold Regions Science and Technology,2
363,Nature Materials,2
364,Huagong Xuebao/Journal of Chemical Industry and Engineering (China),2
365,ASAIO Journal,2
366,AIChE Journal,2
367,Biofutur,2
368,Environmental Health Perspectives,2
369,"Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A",2
370,Advanced Composites Bulletin,2
371,Chung-kuo Tsao Chih/China Pulp and Paper,2
372,Nonwovens Report International,2
373,International Paper Board Industry,2
374,Microsurgery,2
375,Xiandai Huagong/Modern Chemical Industry,2
376,Cellulose Chemistry and Technology,2
377,Actualite Chimique,2
378,Preparative Biochemistry and Biotechnology,2
379,Journal of the American Leather Chemists Association,2
380,Journal of Macromolecular Science - Physics,2
381,Journal of Chemical Engineering of Japan,2
382,Official Board Markets,2
383,Progress in Rubber and Plastics Technology,2
384,Key Engineering Materials,2
385,Journal of Materials Research,2
386,Polimeri (Zagreb),2
387,Cellular Polymers,2
388,Colloids and Surfaces A: Physicochemical and Engineering Aspects,2
389,Journal of Molecular Catalysis - B Enzymatic,2
390,Materials Performance,2
391,Kobunshi,2
392,Trends in Biotechnology,2
