,Name of the Author,# of publication,Affiliation
37,9, Kasuya K.-I.," Kasuya, K.-I., Division of Molecular Science, Faculty of Science and Technology, Gunma University, 1-5-1 Tenjin, Kiryu, Gunma  376-8515, Japan, Gunma University Center for Food Science and Wellness, 4-2 Aramaki, Maebashi, Gunma  371-8510, Japan"
38,8,Accinelli C.,"Accinelli, C., Department of Agricultural and Food Sciences, Alma Mater Studiorum - University of Bologna, Bologna, 40127, Italy"
39,8, Yoshida S.," Yoshida, S., National Agricultural Food Research Organization (NARO), 3-1-3 Kannondai, Tsukuba, Ibaraki  305-8604, Japan"
40,8, Suzuki K.," Suzuki, K., Institute for Agro-environmental Sciences, National Agriculture and Food Research Organization (NARO), Tsukuba, Japan"
41,8, Nakayama A.," Nakayama, A., Biomedical Research Institute, National Institute of Advanced Industrial Science and Technology (AIST), 1-8-31 Midorigaoka, Ikeda, Osaka  563-8577, Japan"
42,8, Mikos A.G.," Mikos, A.G., Department of Bioengineering, Rice University, Houston, TX 77251, United States"
43,8, Malinconico M.," Malinconico, M., Institute for Polymers, Composites and Biomaterials, National Council of Research, Via Campi Flegrei 34, Pozzuoli, Naples  80078, Italy"
44,8, Kawasaki N.," Kawasaki, N., Biomedical Research Institute, National Institute of Advanced Industrial Science and Technology (AIST), 1-8-31 Midorigaoka, Ikeda, Osaka  563-8577, Japan"
45,8, Gross R.A.," Gross, R.A., Department of Chemical and Biological Sciences, Polytechnic Institute of NYU, Six Metrotech Center, Brooklyn, NY 11201, United States"
46,8, Greene R.V.," Greene, R.V., Biopolymer Research Unit, Natl. Ctr. for Agric. Utiliz. Res., U.S. Department of Agriculture, Peoria, IL 61604, United States"
47,8, Gordon S.H.," Gordon, S.H., Plant Polymer Research, NCAUR-ARS-USDA, Peoria, IL 61604, United States"
48,8, Fava F.," Fava, F., Department of Civil, Chemical, Environmental and Materials Engineering (DICAM), University of Bologna, Italy"
49,8, Corti A.," Corti, A., Department of Chemistry and Industrial Chemistry, University of Pisa, Pisa, Italy, CISUP Center for the Integration of Scientific Instruments of the University of Pisa, Pisa, Italy"
50,8, Bhunia H.," Bhunia, H., Department of Chemical Engineering, Thapar Institute of Engineering and Technology (Deemed to be University), Patiala, Punjab  147004, India"
51,7,Behera A.K.,"Behera, A.K., Department of Chemistry, Utkal University, Odisha, Bhubaneswar, 751004, India"
52,7, Wei R.," Wei, R., Junior Research Group Plastic Biodegradation, Institute of Biochemistry, Department of Biotechnology and Enzyme Catalysis, University of Greifswald, Greifswald, Germany"
53,7, Wadsworth L.C.," Wadsworth, L.C., Department of Biosystems Engineering & Soil Science, University of Tennessee, 2506 E.J. Chapman Drive, Knoxville, TN  37996-4531, United States"
54,7, Vacanti J.P.," Vacanti, J.P., Department of Surgery, Massachusetts General Hospital, Harvard Medical School, 55 Fruit Street, Boston, MA 02114, United States"
55,7, Sudesh K.," Sudesh, K., School of Biological Sciences, Universiti Sains Malaysia, Penang, Malaysia"
56,7, Selke S.," Selke, S., School of Packaging, Michigan State University, East Lansing, MI  48824-1223, United States"
57,7, Robson G.D.," Robson, G.D., School of Biological Sciences, Faculty of Biology, Medicine and Health, The University of Manchester, Michael Smith Building, Oxford Road, Manchester, M13 9PT, United Kingdom"
